YYMMDDHHMMSS.SSS,XFVX(FPS) INNER (DEG),X,VY (FPS) MIDDLE (DEG),Y,VZ (FPS) OUTER (DEG),Z,RANGE (FT),
690720201351.164125,44.1101074,   44.1101074,    1.8566895,    1.8566895,  359.7912598,-     .2087402,"5,184.60",1
690720201351.926125,43.9782715,   43.9782715,1.4062500,    1.40625  ,  359.7692871,-     .2307129,,1
690720201353.164125,44.3078613,   44.3078613,    1.1096191,    1.1096191,  359.8681641,-     .1318359,"4,979.59",1
690720201353.887125,43.8959961,   43.8959961,    1.1865234,    1.1865234,  359.9560547,-     .0439453,,1
690720201355.164125,42.6269531,   42.6269531,    1.7797852,    1.7797852,.0988770,     .098877 ,"4,758.39",1
690720201355.957125,42.4291992,   42.4291992,    3.2629395,    3.2629395,     .2526855,     .2526855,,1
690720201357.164125,43.2531738,   43.2531738,    3.3618164,    3.3618164,     .3076172,     .3076172,"4,564.17",1
690720201357.957125,43.0773926,   43.0773926,    1.8676758,    1.8676758,     .2636719,     .2636719,,1
690720201359.164125,42.7697754,   42.7697754,  359.7692871,-     .2307129,     .2856445,     .2856445,"4,342.98",1
690720201359.945125,42.7697754,   42.7697754,  359.3518066,-     .6481934,     .2856445,     .2856445,,1
690720201401.164125,39.7595215,   39.7595215,  359.8352051,-     .1647949,     .3625488,     .3625488,"4,094.02",1
690720201402.027125,39.6057123,   39.6057123,  359.5495605,-     .4504395,     .4504395,     .4504395,,1
690720201403.164125,38.9245605,   38.9245605,  359.7253418,-     .2746582,     .4394531,     .4394531,"3,857.03",1
690720201404.086125,39.0563965,   39.0563965,  359.4946289,-     .5053711,     .5603027,     .5603027,,1
690720201405.164125,38.5620117,   38.5620117,359.3298340,-     .670166 ,     .5163574,     .5163574,"3,680.18",1
690720201406.137125,38.2983398,   38.2983398,  359.4177246,-     .5822754,     .5493164,     .5493164,,1
690720201407.164125,37.8369141,   37.8369141,  359.3408203,-     .6591797,     .6262207,     .6262207,"3,544.52",1
690720201407.984125,36.7712402,   36.7712402,359.9670410,-     .032959 ,     .5603027,     .5603027,,1
